student_id,district_id,school_id,assessment_edition,composite_level,composite_score
8878547139,806405,806405802,DIBELS 8th Edition,At Benchmark,306
8878132753,818408,818408807,DIBELS 8th Edition,Below Benchmark,291
8877357966,,,DIBELS 8th Edition,At Benchmark,314
8877359986,820405,820405805,DIBELS 8th Edition,At Benchmark,326
8877961413,820407,820407871,DIBELS 8th Edition,At Benchmark,308
8877523271,818402,818402807,DIBELS 8th Edition,Below Benchmark,281
8873874912,93408,93408805,DIBELS 8th Edition,At Benchmark,326
8873764779,820407,820407807,DIBELS 8th Edition,Below Benchmark,284
8873321625,870407,870407808,DIBELS 8th Edition,Above Benchmark,346
8873233178,844408,844408801,DIBELS 8th Edition,Well Below Benchmark,257
8879131159,818402,818402807,DIBELS 8th Edition,At Benchmark,319
8879471352,801102,801102801,DIBELS 8th Edition,Well Below Benchmark,252
8876832755,739405,739405808,DIBELS 8th Edition,Well Below Benchmark,252
8876954355,760405,760405808,DIBELS 8th Edition,Well Below Benchmark,243
8876548324,93408,93408881,DIBELS 8th Edition,Above Benchmark,375
8876493926,,,DIBELS 8th Edition,Below Benchmark,286
8876461543,58106,58106008,DIBELS 8th Edition,Below Benchmark,299
8876423941,86172,86172007,DIBELS 8th Edition,Above Benchmark,439
8875694594,844408,844408889,DIBELS 8th Edition,Above Benchmark,397
8872651954,874409,874409808,DIBELS 8th Edition,Below Benchmark,296
8872521332,86136,86136004,DIBELS 8th Edition,Above Benchmark,352
8872489255,874480,874480808,DIBELS 8th Edition,Above Benchmark,359
8871558454,20401,20401805,DIBELS 8th Edition,Above Benchmark,388
8871281539,,,DIBELS 8th Edition,At Benchmark,313
8871497821,15408,15408807,DIBELS 8th Edition,Well Below Benchmark,256
8874841575,83403,83403808,DIBELS 8th Edition,Below Benchmark,303
8874684631,800402,800402807,DIBELS 8th Edition,Well Below Benchmark,247
8874274197,818402,818402807,DIBELS 8th Edition,Well Below Benchmark,252
8874299592,820407,820407801,DIBELS 8th Edition,Well Below Benchmark,247
8874135172,820407,820407809,DIBELS 8th Edition,Below Benchmark,289
8838867324,51107,51107008,DIBELS 8th Edition,At Benchmark,328
8838944236,80407,80407808,DIBELS 8th Edition,Well Below Benchmark,247
8838277943,770486,770486806,DIBELS 8th Edition,Well Below Benchmark,249
8838158147,820407,820407807,DIBELS 8th Edition,Below Benchmark,298
8837966965,,,DIBELS 8th Edition,Above Benchmark,473
8837227915,86488,86488888,DIBELS 8th Edition,At Benchmark,307
8837195667,806405,806405883,DIBELS 8th Edition,Above Benchmark,368
8837164829,48483,48483808,DIBELS 8th Edition,Above Benchmark,360
8833781961,48405,48405806,DIBELS 8th Edition,Well Below Benchmark,247
8833136237,35407,35407307,DIBELS 8th Edition,Above Benchmark,378
8839875656,,,DIBELS 8th Edition,Well Below Benchmark,270
8839871698,,,DIBELS 8th Edition,Well Below Benchmark,247
8839968488,819402,819402808,DIBELS 8th Edition,Above Benchmark,411
8836962312,,,DIBELS 8th Edition,At Benchmark,328
8836469234,891407,891407008,DIBELS 8th Edition,Above Benchmark,359
8835816482,834488,834488808,DIBELS 8th Edition,Well Below Benchmark,270
8835738775,708480,708480809,DIBELS 8th Edition,Well Below Benchmark,243
8835794154,35407,35407307,DIBELS 8th Edition,Above Benchmark,350
8835276961,,,DIBELS 8th Edition,Well Below Benchmark,263
8835221265,20401,20401804,DIBELS 8th Edition,Above Benchmark,355
8832189672,820407,820407888,DIBELS 8th Edition,Well Below Benchmark,270
8832181677,15408,15408807,DIBELS 8th Edition,Above Benchmark,376
8832113959,51107,51107008,DIBELS 8th Edition,At Benchmark,331
8831122766,820407,820407838,DIBELS 8th Edition,At Benchmark,318
8834865871,873401,873401806,DIBELS 8th Edition,Below Benchmark,301
8834824291,20401,20401805,DIBELS 8th Edition,Above Benchmark,393
8834784575,803407,803407008,DIBELS 8th Edition,Well Below Benchmark,270
8834973651,,,DIBELS 8th Edition,Well Below Benchmark,277
8834953481,86172,86138007,DIBELS 8th Edition,Well Below Benchmark,273
8834697578,820407,820407808,DIBELS 8th Edition,Below Benchmark,281
8898692279,739402,739402808,DIBELS 8th Edition,Above Benchmark,338
8898226152,93408,93408884,DIBELS 8th Edition,Below Benchmark,305
8898497476,20401,20401806,DIBELS 8th Edition,Above Benchmark,332
8897857473,19107,19107008,DIBELS 8th Edition,Well Below Benchmark,243
8897361199,820407,820407884,DIBELS 8th Edition,At Benchmark,325
8897931994,815407,815407809,DIBELS 8th Edition,Well Below Benchmark,269
8897691688,80407,80407808,DIBELS 8th Edition,Above Benchmark,333
8897148911,820407,820407804,DIBELS 8th Edition,Above Benchmark,368
8893811899,826480,826480808,DIBELS 8th Edition,Below Benchmark,290
8893681227,48405,48405888,DIBELS 8th Edition,Well Below Benchmark,245
8893225622,48405,48405880,DIBELS 8th Edition,Well Below Benchmark,274
8895345178,874406,874406809,DIBELS 8th Edition,Below Benchmark,286
8895979541,844407,844407809,DIBELS 8th Edition,Above Benchmark,363
8895521426,799403,799403806,DIBELS 8th Edition,Well Below Benchmark,273
8895474468,820407,820407870,DIBELS 8th Edition,Above Benchmark,342
8892984332,820403,820403802,DIBELS 8th Edition,Above Benchmark,354
8892621369,771408,771408807,DIBELS 8th Edition,Well Below Benchmark,245
8892239234,820403,820403805,DIBELS 8th Edition,At Benchmark,319
8892485957,47405,47405807,DIBELS 8th Edition,At Benchmark,322
8891557814,23409,23409808,DIBELS 8th Edition,Above Benchmark,335
8891294356,32402,32402803,DIBELS 8th Edition,Well Below Benchmark,245
8891161641,844408,844408880,DIBELS 8th Edition,Above Benchmark,394
8891497948,,,DIBELS 8th Edition,Above Benchmark,363
8894793536,20401,20401804,DIBELS 8th Edition,Above Benchmark,370
8894511321,848408,848408883,DIBELS 8th Edition,At Benchmark,328
8894285184,93408,93408805,DIBELS 8th Edition,Well Below Benchmark,247
8894482878,818406,818406807,DIBELS 8th Edition,At Benchmark,308
8868869883,93408,93408882,DIBELS 8th Edition,Above Benchmark,393
8867391528,820407,820407884,DIBELS 8th Edition,At Benchmark,307
8867993529,821409,821409882,DIBELS 8th Edition,Well Below Benchmark,254
8867969797,820407,820407881,DIBELS 8th Edition,Below Benchmark,300
8863754657,30408,30408808,DIBELS 8th Edition,Well Below Benchmark,267
8863349166,818402,818402807,DIBELS 8th Edition,Below Benchmark,301
