,student_id,school_id,composite_level,composite_score,district_id_y,ethnicity,eco,el,spec_ed
0,8878547139,806405802,At Benchmark,306,806405,White,NO,NO,NO
1,8878132753,818408807,Below Benchmark,291,818408,White,YES,NO,NO
2,8877357966,,At Benchmark,314,95408,White,NO,NO,NO
3,8877359986,820405805,At Benchmark,326,820405,White,NO,NO,NO
4,8877961413,820407871,At Benchmark,308,820407,White,YES,NO,NO
5,8877523271,818402807,Below Benchmark,281,818402,White,NO,NO,NO
6,8873874912,93408805,At Benchmark,326,93408,White,YES,NO,YES
7,8873764779,820407807,Below Benchmark,284,820407,White,YES,NO,NO
8,8873321625,870407808,Above Benchmark,346,870407,White,NO,NO,NO
9,8873233178,844408801,Well Below Benchmark,257,844408,White,NO,NO,NO
10,8879131159,818402807,At Benchmark,319,818402,White,YES,NO,NO
11,8879471352,801102801,Well Below Benchmark,252,801102,White,YES,YES,NO
12,8876832755,739405808,Well Below Benchmark,252,739405,White,NO,NO,NO
13,8876954355,760405808,Well Below Benchmark,243,760405,White,YES,NO,YES
14,8876548324,93408881,Above Benchmark,375,93408,White,NO,NO,NO
15,8876493926,,Below Benchmark,286,95408,White,NO,NO,NO
16,8876461543,58106008,Below Benchmark,299,58106,White,NO,NO,NO
17,8876423941,86172007,Above Benchmark,439,86172,White,YES,NO,NO
18,8875694594,844408889,Above Benchmark,397,844408,White,NO,NO,NO
19,8872651954,874409808,Below Benchmark,296,874409,White,NO,NO,NO
20,8872521332,86136004,Above Benchmark,352,86136,White,NO,NO,NO
21,8872489255,874480808,Above Benchmark,359,874480,White,YES,NO,NO
22,8871558454,20401805,Above Benchmark,388,20401,White,NO,NO,NO
23,8871281539,,At Benchmark,313,76407,White,NO,NO,NO
24,8871497821,15408807,Well Below Benchmark,256,15408,White,YES,NO,NO
25,8874841575,83403808,Below Benchmark,303,83403,White,NO,NO,NO
26,8874684631,800402807,Well Below Benchmark,247,800402,White,YES,NO,NO
27,8874274197,818402807,Well Below Benchmark,252,818402,White,YES,NO,YES
28,8874299592,820407801,Well Below Benchmark,247,820407,White,NO,NO,NO
29,8874135172,820407809,Below Benchmark,289,820407,White,YES,NO,NO
30,8838867324,51107008,At Benchmark,328,51107,White,NO,NO,NO
31,8838944236,80407808,Well Below Benchmark,247,80407,White,NO,NO,NO
32,8838277943,770486806,Well Below Benchmark,249,770486,White,YES,NO,YES
33,8838158147,820407807,Below Benchmark,298,820407,White,NO,NO,NO
34,8837966965,,Above Benchmark,473,95408,White,NO,NO,NO
35,8837227915,86488888,At Benchmark,307,86488,White,YES,NO,YES
36,8837195667,806405883,Above Benchmark,368,806405,White,NO,NO,NO
37,8837164829,48483808,Above Benchmark,360,48483,White,NO,NO,NO
38,8833781961,48405806,Well Below Benchmark,247,48405,White,YES,NO,NO
39,8833136237,35407307,Above Benchmark,378,35407,White,NO,NO,NO
40,8839875656,,Well Below Benchmark,270,71407,White,YES,NO,YES
41,8839871698,,Well Below Benchmark,247,792408,White,NO,NO,NO
42,8839968488,819402808,Above Benchmark,411,819402,White,NO,NO,NO
43,8836962312,,At Benchmark,328,853403,White,YES,NO,NO
44,8836469234,891407008,Above Benchmark,359,891407,White,NO,NO,NO
45,8835816482,834488808,Well Below Benchmark,270,834488,White,YES,NO,NO
46,8835738775,708480809,Well Below Benchmark,243,708480,White,YES,NO,NO
47,8835794154,35407307,Above Benchmark,350,35407,White,NO,NO,NO
48,8835276961,,Well Below Benchmark,263,866408,White,YES,NO,NO
49,8835221265,20401804,Above Benchmark,355,20401,White,NO,NO,NO
